Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-01000,2021-06-28,2021-07-03,Second Class,CUST-1013,Consumer,Dallas,Central,Office Supplies,Binders,66.18,5,0.0,17.09
ORD-01001,2021-11-23,2021-11-30,Standard Class,CUST-1052,Home Office,Seattle,West,Office Supplies,Labels,198.84,3,0.0,87.35
ORD-01002,2023-07-30,2023-08-04,First Class,CUST-1185,Corporate,Boston,East,Technology,Phones,1948.4,6,0.0,309.09
ORD-01003,2022-04-22,2022-04-23,Same Day,CUST-1181,Corporate,San Francisco,West,Office Supplies,Binders,216.42,3,0.1,52.2
ORD-01004,2022-05-17,2022-05-19,Standard Class,CUST-1112,Corporate,Chicago,Central,Technology,Accessories,1894.8,5,0.5,-41.69
ORD-01005,2021-05-16,2021-05-18,Standard Class,CUST-1234,Home Office,Los Angeles,West,Office Supplies,Binders,412.21,6,0.0,133.89
ORD-01006,2023-03-29,2023-04-01,Standard Class,CUST-1056,Corporate,Seattle,West,Technology,Laptops,1267.99,1,0.1,86.45
ORD-01007,2023-08-17,2023-08-22,Standard Class,CUST-1136,Corporate,Denver,Central,Technology,Laptops,661.51,5,0.15,31.69
ORD-01008,2022-06-24,2022-06-29,Standard Class,CUST-1259,Consumer,Portland,West,Office Supplies,Pens,80.84,6,0.3,10.07
ORD-01009,2023-12-23,2023-12-24,First Class,CUST-1122,Corporate,Philadelphia,East,Office Supplies,Paper,367.39,3,0.0,158.81
ORD-01010,2023-12-27,2023-12-29,Same Day,CUST-1216,Home Office,Portland,West,Technology,Phones,1188.72,5,0.4,-79.61
ORD-01011,2023-06-17,2023-06-22,Second Class,CUST-1283,Home Office,Denver,Central,Office Supplies,Paper,140.93,5,0.0,40.1
ORD-01012,2022-11-08,2022-11-09,First Class,CUST-1292,Consumer,Los Angeles,West,Technology,Laptops,3525.53,2,0.15,239.2
ORD-01013,2023-06-02,2023-06-05,Standard Class,CUST-1050,Consumer,Denver,Central,Office Supplies,Paper,185.98,6,0.3,11.82
ORD-01014,2023-07-08,2023-07-10,Standard Class,CUST-1226,Consumer,Chicago,Central,Technology,Accessories,3510.98,1,0.0,965.16
ORD-01015,2022-04-30,2022-05-02,First Class,CUST-1084,Home Office,Los Angeles,West,Office Supplies,Binders,255.72,1,0.0,76.78
ORD-01016,2023-09-24,2023-09-26,Second Class,CUST-1031,Consumer,Portland,West,Furniture,Storage,507.39,5,0.4,-53.38
ORD-01017,2021-11-19,2021-11-20,First Class,CUST-1120,Corporate,Portland,West,Office Supplies,Binders,101.02,1,0.3,6.78
ORD-01018,2023-12-07,2023-12-10,Standard Class,CUST-1202,Corporate,New York,East,Furniture,Tables,2871.3,3,0.15,-133.38
ORD-01019,2021-07-24,2021-07-25,Second Class,CUST-1125,Consumer,New York,East,Technology,Accessories,4309.68,1,0.0,731.79
ORD-01020,2023-12-20,2023-12-21,Same Day,CUST-1135,Corporate,Boston,East,Furniture,Tables,2223.66,2,0.4,-498.33
ORD-01021,2022-12-04,2022-12-06,Second Class,CUST-1047,Consumer,Dallas,Central,Technology,Phones,4809.36,1,0.1,482.01
ORD-01022,2022-06-21,2022-06-23,Second Class,CUST-1076,Corporate,Seattle,West,Office Supplies,Pens,404.92,6,0.1,72.06
ORD-01023,2023-01-17,2023-01-18,Standard Class,CUST-1286,Consumer,Philadelphia,East,Furniture,Bookcases,2767.89,3,0.15,115.51
ORD-01024,2021-11-29,2021-12-01,Standard Class,CUST-1127,Home Office,Nashville,South,Office Supplies,Labels,132.81,4,0.0,57.26
ORD-01025,2023-08-01,2023-08-04,Standard Class,CUST-1168,Home Office,New York,East,Technology,Phones,1803.88,4,0.0,418.51
ORD-01026,2022-11-10,2022-11-11,Second Class,CUST-1019,Consumer,New Orleans,South,Technology,Phones,1395.86,3,0.0,408.3
ORD-01027,2021-08-25,2021-08-29,Same Day,CUST-1266,Consumer,Boston,East,Technology,Monitors,4537.72,1,0.0,1097.03
ORD-01028,2022-10-05,2022-10-12,First Class,CUST-1206,Home Office,New York,East,Office Supplies,Paper,345.5,3,0.1,109.43
ORD-01029,2022-09-09,2022-09-13,First Class,CUST-1164,Corporate,Portland,West,Office Supplies,Paper,84.45,5,0.0,21.33
ORD-01030,2021-12-14,2021-12-21,Same Day,CUST-1158,Corporate,Denver,Central,Furniture,Storage,732.46,2,0.0,137.7
ORD-01031,2021-05-30,2021-06-03,Standard Class,CUST-1124,Consumer,Los Angeles,West,Technology,Laptops,1960.47,4,0.15,199.57
ORD-01032,2023-11-27,2023-12-01,Standard Class,CUST-1237,Corporate,Miami,South,Technology,Phones,441.7,2,0.3,-11.36
ORD-01033,2023-10-31,2023-11-04,Second Class,CUST-1230,Corporate,Charlotte,South,Office Supplies,Pens,351.21,4,0.3,82.86
ORD-01034,2022-05-05,2022-05-08,Second Class,CUST-1041,Corporate,Houston,Central,Technology,Laptops,3635.12,5,0.0,607.68
